date,eua_eur_tco2
2024-09-09,65.750000
2024-09-10,65.830000
2024-09-11,64.750000
2024-09-12,65.100000
2024-09-13,64.890000
2024-09-16,64.940000
2024-09-17,62.710000
2024-09-19,63.560000
2024-09-20,63.180000
2024-09-23,64.000000
2024-09-24,63.910000
2024-09-25,63.550000
2024-09-26,63.880000
2024-09-27,65.450000
2024-09-30,65.690000
2024-10-01,63.190000
2024-10-02,62.890000
2024-10-03,62.020000
2024-10-04,61.030000
2024-10-07,60.150000
2024-10-08,59.850000
2024-10-09,61.180000
2024-10-10,63.300000
2024-10-11,63.710000
2024-10-14,65.000000
2024-10-15,64.080000
2024-10-17,63.100000
2024-10-18,61.900000
2024-10-21,62.300000
2024-10-22,61.220000
2024-10-23,63.750000
2024-10-24,64.600000
2024-10-25,66.320000
2024-10-28,64.380000
2024-10-29,66.420000
2024-10-31,64.780000
2024-11-01,64.460000
2024-11-04,64.680000
2024-11-05,65.060000
2024-11-06,62.940000
2024-11-07,65.350000
2024-11-08,66.200000
2024-11-11,67.600000
2024-11-12,65.920000
2024-11-14,67.150000
2024-11-15,66.780000
2024-11-18,67.700000
2024-11-19,69.050000
2024-11-20,68.020000
2024-11-21,68.790000
2024-11-22,69.710000
2024-11-25,69.320000
2024-11-26,69.370000
2024-11-28,67.910000
2024-11-29,67.300000
2024-12-02,69.400000
2024-12-03,68.120000
2024-12-04,67.420000
2024-12-05,67.620000
2024-12-06,67.250000
2024-12-09,67.700000
2024-12-10,67.000000
2024-12-12,67.950000
2024-12-13,66.070000
2024-12-16,63.640000
2025-01-07,71.020000
2025-01-08,71.500000
2025-01-09,70.010000
2025-01-10,70.630000
2025-01-13,74.400000
2025-01-14,74.450000
2025-01-16,75.700000
2025-01-17,77.300000
2025-01-20,76.400000
2025-01-21,77.300000
2025-01-22,76.710000
2025-01-23,79.060000
2025-01-24,78.430000
2025-01-27,77.700000
2025-01-28,77.060000
2025-01-30,81.570000
2025-01-31,81.110000
2025-02-03,80.390000
2025-02-04,79.060000
2025-02-05,77.870000
2025-02-06,79.750000
2025-02-07,80.710000
2025-02-10,81.270000
2025-02-11,80.080000
2025-02-13,76.770000
2025-02-14,75.840000
2025-02-17,77.020000
2025-02-18,74.530000
2025-02-19,72.900000
2025-02-20,71.210000
2025-02-21,73.010000
2025-02-24,70.800000
2025-02-25,71.150000
2025-02-27,69.960000
