effective_at_utc,event,category,treatment_scope,source_url,source_note
2026-04-13T14:00:00Z,U.S. blockade of maritime traffic entering and exiting Iranian ports begins,port_blockade,iranian_ports_not_general_strait_transit,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4457255/us-to-blockade-ships-entering-or-exiting-iranian-ports/,CENTCOM specifies April 13 at 10 a.m. ET and explicitly says non-Iranian Strait traffic will not be impeded
2026-07-14T20:00:00Z,U.S. blockade of maritime traffic entering and exiting Iranian ports resumes,port_blockade,iranian_ports_not_general_strait_transit,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4542098/us-forces-to-resume-naval-blockade-against-iran/,CENTCOM specifies July 14 at 4 p.m. ET
