fold_id,period,test_start,test_end,prophet_MAE,prophet_RMSE,hybrid_MAE,hybrid_RMSE,n_test
1,BASELINE,2022-01-04,2022-01-04,70.65755870228489,70.65755870228489,68.87161610240261,68.87161610240261,1
2,BASELINE,2022-01-11,2022-01-11,31.73111584942339,31.73111584942339,28.42091158192156,28.42091158192156,1
3,BASELINE,2022-01-18,2022-01-18,10.203130555231212,10.203130555231212,86.21729834087574,86.21729834087574,1
4,BASELINE,2022-01-25,2022-01-25,70.21444823750053,70.21444823750053,49.85753943928276,49.85753943928276,1
5,BASELINE,2022-02-01,2022-02-01,77.41823652268806,77.41823652268806,79.89338424683967,79.89338424683967,1
6,BASELINE,2022-02-08,2022-02-08,81.6814188080784,81.6814188080784,35.23685780343973,35.23685780343973,1
7,BASELINE,2022-02-15,2022-02-15,46.15352604879493,46.15352604879493,11.185634870394523,11.185634870394523,1
8,BASELINE,2022-02-22,2022-02-22,55.16314503133553,55.16314503133553,8.683412585851968,8.683412585851968,1
9,SHOCK_2022,2022-03-01,2022-03-01,67.50297110694535,67.50297110694535,28.840354377209025,28.840354377209025,1
10,SHOCK_2022,2022-03-08,2022-03-08,271.6639885062582,271.6639885062582,94.59553757852376,94.59553757852376,1
11,SHOCK_2022,2022-03-15,2022-03-15,67.09864075925825,67.09864075925825,47.571113903789495,47.571113903789495,1
12,SHOCK_2022,2022-03-22,2022-03-22,1.1868463013177006,1.1868463013177006,45.53395982050847,45.53395982050847,1
13,SHOCK_2022,2022-03-29,2022-03-29,9.197350248582978,9.197350248582978,14.573034986742158,14.573034986742158,1
14,SHOCK_2022,2022-04-05,2022-04-05,55.36452558768562,55.36452558768562,13.86972734200188,13.86972734200188,1
15,SHOCK_2022,2022-04-12,2022-04-12,40.243011542081035,40.243011542081035,28.50545603823582,28.50545603823582,1
16,SHOCK_2022,2022-04-19,2022-04-19,9.898203370825371,9.898203370825371,41.3421340010008,41.3421340010008,1
17,SHOCK_2022,2022-04-26,2022-04-26,20.0204430579646,20.0204430579646,0.07890329356030179,0.07890329356030179,1
18,SHOCK_2022,2022-05-03,2022-05-03,3.8347360285586944,3.8347360285586944,30.313945928461038,30.313945928461038,1
19,SHOCK_2022,2022-05-10,2022-05-10,42.47457903212592,42.47457903212592,43.26756345814749,43.26756345814749,1
20,SHOCK_2022,2022-05-17,2022-05-17,1.8391906849871305,1.8391906849871305,17.43676491899592,17.43676491899592,1
21,SHOCK_2022,2022-05-24,2022-05-24,58.95808849946968,58.95808849946968,24.226082426471635,24.226082426471635,1
22,SHOCK_2022,2022-05-31,2022-05-31,1.6787624960403207,1.6787624960403207,43.477533400581336,43.477533400581336,1
23,SHOCK_2022,2022-06-07,2022-06-07,26.923973577750843,26.923973577750843,30.166987878547985,30.166987878547985,1
24,SHOCK_2022,2022-06-14,2022-06-14,12.18081946261617,12.18081946261617,17.819054652374064,17.819054652374064,1
25,SHOCK_2022,2022-06-21,2022-06-21,79.68570804783221,79.68570804783221,24.054421426738486,24.054421426738486,1
26,SHOCK_2022,2022-06-28,2022-06-28,108.40414098036078,108.40414098036078,27.263507335068937,27.263507335068937,1
27,SHOCK_2022,2022-07-05,2022-07-05,84.90655332204472,84.90655332204472,22.599596077171668,22.599596077171668,1
28,SHOCK_2022,2022-07-12,2022-07-12,134.77204787478445,134.77204787478445,5.483946678495386,5.483946678495386,1
29,SHOCK_2022,2022-07-19,2022-07-19,141.19978871284502,141.19978871284502,2.0244697100065423,2.0244697100065423,1
30,SHOCK_2022,2022-07-26,2022-07-26,46.952101126599814,46.952101126599814,3.8534721287970797,3.8534721287970797,1
31,SHOCK_2022,2022-08-02,2022-08-02,93.4845252724387,93.4845252724387,35.446367671897235,35.446367671897235,1
32,SHOCK_2022,2022-08-09,2022-08-09,42.45465641564971,42.45465641564971,51.988596147826854,51.988596147826854,1
33,SHOCK_2022,2022-08-16,2022-08-16,165.74596889342615,165.74596889342615,68.27580745543787,68.27580745543787,1
34,SHOCK_2022,2022-08-23,2022-08-23,236.67405402751746,236.67405402751746,74.84844672771271,74.84844672771271,1
35,SHOCK_2022,2022-08-30,2022-08-30,218.72043080200388,218.72043080200388,79.321291397707,79.321291397707,1
36,SHOCK_2022,2022-09-06,2022-09-06,43.35077548572531,43.35077548572531,42.82733131000509,42.82733131000509,1
37,SHOCK_2022,2022-09-13,2022-09-13,82.2967365019154,82.2967365019154,78.5715339414906,78.5715339414906,1
38,SHOCK_2022,2022-09-20,2022-09-20,90.52000308065061,90.52000308065061,67.12378048868533,67.12378048868533,1
39,SHOCK_2022,2022-09-27,2022-09-27,146.8755477531261,146.8755477531261,57.183457984178574,57.183457984178574,1
40,SHOCK_2022,2022-10-04,2022-10-04,181.76375649756014,181.76375649756014,24.834891573728925,24.834891573728925,1
41,SHOCK_2022,2022-10-11,2022-10-11,139.4897117856222,139.4897117856222,23.71527478664342,23.71527478664342,1
