feature,VIF
ttf_eur_mwh,1.6970643731399444
DCOILBRENTEU,1.693395976221031
DEXUSEU,1.4643185347707874
renewable_output_mwh,1.4154499284614486
dunkelflaute_flag,1.3650381362540325
gpr_daily,1.1817699552868526
