fold_id,period,prophet_MAE,A_price_only_MAE,B_plus_market_MAE,C_plus_weather_MAE,D_plus_geopolitical_MAE,E_plus_sentiment_MAE
1,BASELINE,70.65755870228489,54.98529408091824,38.3986394178323,48.07941792125027,45.46586201304714,66.8692204725198
2,BASELINE,31.73111584942339,71.5814118699312,31.857745023179035,39.18471864025591,27.043404133725147,16.106104405331592
3,BASELINE,10.203130555231212,114.520826172907,93.1836221934148,104.5743921519109,84.16373999126637,84.34531195171559
4,BASELINE,70.21444823750053,56.22242858418022,74.52181222446953,57.15880134113823,61.05095412739311,54.107787394605026
5,BASELINE,77.41823652268806,104.83487585069099,110.54266050340092,80.34628561021248,95.04766920091072,95.47836759568611
6,BASELINE,81.6814188080784,36.99059239206278,17.745002182101842,31.256030471896764,20.792972000217077,17.77412739572489
7,BASELINE,46.15352604879493,17.177280168667977,6.027977247103507,12.945671338900382,22.521057386263664,15.373474378451164
8,BASELINE,55.16314503133553,13.264486278894125,4.181787524816812,5.4573879581664215,6.258600268957437,8.365892444250406
9,SHOCK_2022,67.50297110694535,2.45534842628129,22.360904151378946,26.21506064551957,24.466620856701212,36.4735082926143
10,SHOCK_2022,271.6639885062582,92.16931382364095,95.47261277383626,104.6043113822347,89.85998765176595,86.29762498086751
11,SHOCK_2022,67.09864075925825,64.241175968914,38.69251473691941,40.99941476133347,46.52608521726606,47.045831997661566
12,SHOCK_2022,1.1868463013177006,41.211053326367846,46.53770203852605,25.732753231763354,39.575032665967456,46.35294099116277
13,SHOCK_2022,9.197350248582978,6.236845478304048,10.795787438638826,26.30044625688376,20.910724386461396,22.40393231797995
14,SHOCK_2022,55.36452558768562,22.065055100790943,10.223410813681568,7.13448408377937,16.104010789267505,19.323783128134693
15,SHOCK_2022,40.243011542081035,7.374889441250957,44.333911486386455,52.7570591647617,29.130343504666484,38.78642947268406
16,SHOCK_2022,9.898203370825371,65.76507330153791,68.19843816970197,47.99350500319807,52.82896566603986,43.15726614211408
17,SHOCK_2022,20.0204430579646,39.00923929209546,31.973669147442138,0.7123833655817862,3.020214176128661,1.8436583519475107
18,SHOCK_2022,3.8347360285586944,18.658813634759866,5.500085154420816,13.76827541912266,25.61196915233799,23.216489950067484
19,SHOCK_2022,42.47457903212592,83.16713732070016,57.31468981093451,48.96971338576361,52.41977041548773,45.41209905928656
20,SHOCK_2022,1.8391906849871305,7.191989146901193,4.212103330327096,21.49988289995295,22.598668300343576,27.7180835835467
21,SHOCK_2022,58.95808849946968,42.97415218965523,27.744963270587846,21.663567167682572,16.955628019733354,23.08287106172554
22,SHOCK_2022,1.6787624960403207,40.11056333832548,19.386224806831336,43.37058836273954,34.568014205024696,42.21427732758329
23,SHOCK_2022,26.923973577750843,17.223185998665173,42.684958917366345,34.16881511853822,26.262324792610485,24.450698358284313
24,SHOCK_2022,12.18081946261617,3.9084139358213292,6.1328173171689855,23.539742518585,23.793416072051798,14.049878169219767
25,SHOCK_2022,79.68570804783221,29.74852848240255,23.839135171855673,20.55373859592794,40.87418842502947,34.33399677463885
26,SHOCK_2022,108.40414098036078,55.914554087998624,28.669070689561124,36.1244845079205,53.50090357530331,48.042361705186124
27,SHOCK_2022,84.90655332204472,27.87256055471073,1.9611111223376838,17.728071266380653,3.5267162859119026,4.285566383568153
28,SHOCK_2022,134.77204787478445,9.03616440548899,15.991273048067114,15.338853004121802,3.9610279773235106,1.4455708240031981
29,SHOCK_2022,141.19978871284502,0.1209312909700202,2.7497307294465827,2.486989640579395,3.1234489911653327,0.2387794023893548
30,SHOCK_2022,46.952101126599814,2.4757980260138766,0.8941780176872953,8.612184151720498,5.4152816685920016,4.922926321912314
31,SHOCK_2022,93.4845252724387,106.39860766213161,53.4794639853738,45.989946773459735,49.0990928916238,45.03894274513942
32,SHOCK_2022,42.45465641564971,62.09624690466279,52.01682490759248,65.36645717077607,63.00583095007295,41.001108354858104
33,SHOCK_2022,165.74596889342615,90.54714687194178,60.54671962584803,54.73407466735193,60.63268764342615,60.3508883270199
34,SHOCK_2022,236.67405402751746,81.4726380118924,88.0543030509549,51.844982982595525,79.36846625896271,63.66958320232209
35,SHOCK_2022,218.72043080200388,14.062853287355438,55.993257950441375,57.420900772707,96.33344502319528,88.89818043579294
36,SHOCK_2022,43.35077548572531,16.076821094245815,90.21348834583273,38.45353675434103,98.0830256993483,26.762440448493862
37,SHOCK_2022,82.2967365019154,84.2479106418919,57.478777670128295,85.51759412215466,96.09793736861462,69.12957169936413
38,SHOCK_2022,90.52000308065061,16.368704557701392,76.52598690958376,70.9185497757947,21.75538754434939,49.05835080118533
39,SHOCK_2022,146.8755477531261,17.239808692186386,31.28036655351451,88.68261875078014,56.41922153398326,65.25888217851451
40,SHOCK_2022,181.76375649756014,98.2067878085953,1.1826560336929504,7.96549294775545,32.737496121583575,16.633124605955487
41,SHOCK_2022,139.4897117856222,39.60655591457311,2.013134026833143,1.9839897397237678,31.89532849758092,10.055026983909045
42,SHOCK_2022,197.18796011878115,64.92210623694521,4.881288976203024,17.951250524054586,27.626528234015524,45.14799735022646
43,SHOCK_2022,253.10305074915027,87.3274465011034,44.12941793665027,34.44559530481433,38.21961263879871,38.17472128137683
44,SHOCK_2022,272.68809733424047,265.5030807021604,114.27449259791236,152.18455729517797,139.01948771509984,134.35151896509984
45,SHOCK_2022,230.43234625328927,84.6449011849299,80.1394080208674,102.09090033043772,87.21304693688303,103.31126013268381
46,SHOCK_2022,126.09042191074914,100.99017357395715,49.21169876621789,36.6571104483468,35.53182053135461,40.99822067783899
47,SHOCK_2022,77.12418514582626,148.3698516497325,83.66545444819442,48.60574489924423,52.403424800367276,51.89995342585556
48,SHOCK_2022,106.82058701858716,32.85440812454419,45.18394074783521,50.95483384475904,64.79509339676099,60.28315720901685
49,SHOCK_2022,108.30765237754207,11.045641995016524,21.930293179098555,23.740290737692305,6.721072292868087,32.507502651754805
50,SHOCK_2022,150.10829359127524,29.400861682162258,10.90759473873618,40.23639112545493,51.600565014615086,48.54354291988852
