feature,importance_neg_mae,importance_std,n_shock_rows,baseline_shock_mae,n_permutation_repeats
day_of_week,0.0,0.0,79,29.309211937286236,20
eua_eur_tco2_lag2,1.8585594573090674,0.6141219970914987,79,29.309211937286236,20
eua_eur_tco2_stale_flag,0.0,0.0,79,29.309211937286236,20
expected_gas_marginal_cost,14.08892701550107,1.8423807169977746,79,29.309211937286236,20
forecast_residual_load,-0.023746654716687486,0.3085244580984122,79,29.309211937286236,20
is_holiday,0.0,0.0,79,29.309211937286236,20
is_weekend,0.0,0.0,79,29.309211937286236,20
month,-0.12022083502830086,0.14947966898311935,79,29.309211937286236,20
price_lag1,45.87515700185132,5.33064945399654,79,29.309211937286236,20
price_lag2,-0.06025112538063961,0.3337177203518659,79,29.309211937286236,20
price_lag3,0.7566681956307594,0.566089468521608,79,29.309211937286236,20
price_lag4,-1.127005451132841,0.423443933029382,79,29.309211937286236,20
price_lag5,0.5590986895656742,0.4414418025983247,79,29.309211937286236,20
price_lag6,0.8204823730026188,0.5921891078182439,79,29.309211937286236,20
price_lag7,0.5100987011417276,0.5122571767063476,79,29.309211937286236,20
traffic_shortfall_lag2,0.0,0.0,27,18.691559893976653,20
traffic_x_ttf,0.0,0.0,27,18.691559893976653,20
ttf_lag2,3.0830723791791477,0.895582672661166,79,29.309211937286236,20
ttf_x_high_residual,-0.053221617675882446,0.09044528802124319,79,29.309211937286236,20
