fold_id,period,n_selected,n_total,geo_features_kept,news_features_kept,alpha
200,BASELINE,33,107,5,3,0.3157662660946877
201,BASELINE,46,107,5,8,0.31527596426767995
202,BASELINE,49,107,5,9,0.31469318404007945
203,BASELINE,51,107,6,9,0.25479893237669066
204,BASELINE,36,107,5,7,0.3361312674184754
205,BASELINE,41,107,2,6,0.35974370795855765
206,BASELINE,40,107,3,7,0.3590427348758846
207,BASELINE,35,107,3,7,0.3584104633420804
208,BASELINE,42,107,4,8,0.311181449390274
209,BASELINE,38,107,4,9,0.33314319768926276
210,BASELINE,38,107,5,7,0.2893114999653516
211,BASELINE,39,107,5,9,0.30957059954874244
212,BASELINE,38,107,4,9,0.3552511482816912
213,BASELINE,36,107,3,8,0.35457312211698894
214,BASELINE,31,107,1,5,0.43631803026338767
215,BASELINE,35,107,4,6,0.32943655559498053
216,BASELINE,31,107,1,5,0.43470426089677283
217,BASELINE,32,107,1,6,0.43407403955473334
218,SHOCK_2026,30,107,1,4,0.4334460316934805
219,SHOCK_2026,30,107,1,4,0.403443270923157
220,SHOCK_2026,32,107,1,6,0.40272988027820683
221,SHOCK_2026,31,107,1,5,0.4309301432257461
222,SHOCK_2026,34,107,1,8,0.43024531297926055
223,SHOCK_2026,32,107,1,7,0.4299586915311376
224,SHOCK_2026,32,107,1,7,0.4290891427479646
225,SHOCK_2026,30,107,1,6,0.42835096834205966
226,SHOCK_2026,29,107,2,6,0.4279028349328037
227,SHOCK_2026,28,107,2,5,0.45826727855163146
228,SHOCK_2026,29,107,2,6,0.4266159000756757
229,SHOCK_2026,30,107,2,7,0.4258380292672696
230,SHOCK_2026,30,107,2,7,0.4251502054512582
231,SHOCK_2026,29,107,2,6,0.42437647395318556
232,SHOCK_2026,29,107,3,5,0.42359430445188007
233,SHOCK_2026,29,107,3,5,0.4230313331840087
234,SHOCK_2026,30,107,3,6,0.4222585640299158
235,SHOCK_2026,30,107,3,6,0.42154502638938407
236,SHOCK_2026,30,107,3,6,0.420935031265472
237,SHOCK_2026,30,107,3,6,0.42020434326708583
238,SHOCK_2026,29,107,3,5,0.41949667602597107
239,SHOCK_2026,28,107,2,5,0.41879192125151476
240,SHOCK_2026,29,107,2,6,0.4180367506562418
241,SHOCK_2026,25,107,1,4,0.44745971390872175
242,SHOCK_2026,25,107,1,4,0.4467435858806365
243,SHOCK_2026,25,107,1,4,0.44602147226585714
244,SHOCK_2026,27,107,2,4,0.4452658046520589
