fold_id,period,LEAR_A_price_only_MAE,LEAR_E_all_features_MAE,XGB_univariate_MAE,SARIMAX_MAE
1,BASELINE,72.84911033191251,67.9928230820545,42.674532572428376,34.00925350612961
2,BASELINE,18.72242049656873,8.560655429497018,41.108486328125,2.604224775782228
3,BASELINE,83.2485933391215,80.39068252870976,90.37184631347657,72.23815700521808
4,BASELINE,71.22618528051385,63.5492604387029,93.29638997395836,53.47121730472159
5,BASELINE,40.41525041450734,60.37451313251324,61.60498270670573,66.52174890128444
6,BASELINE,27.141921387900382,11.32137351936393,2.973791097005204,0.3619141733952347
7,BASELINE,27.82163990729157,16.69653340707339,11.486802164713538,9.081433063992108
8,BASELINE,32.570194714370956,13.256185908469305,12.418575846354159,5.094738810677711
9,SHOCK_2022,37.57701248439167,29.325955085988937,41.03830444335938,28.62892028443622
10,SHOCK_2022,94.89676332322796,73.36070230250397,98.66638142903645,92.5019868942772
11,SHOCK_2022,17.837464400905333,11.305170756791938,51.23639831542971,8.59838801896717
12,SHOCK_2022,23.38129586739248,19.262264038512598,71.73990498860675,3.1466873281742096
13,SHOCK_2022,21.382993603789572,21.080908430930407,19.24309733072917,9.3498067871775
14,SHOCK_2022,67.76405070680485,35.35225340156924,54.142101847330736,17.11814434489591
15,SHOCK_2022,17.678085438812474,38.56392797556566,12.942244262695311,65.87673294394841
16,SHOCK_2022,64.3423299030049,59.7002162092715,85.46015736897786,38.00703855098561
17,SHOCK_2022,20.0773016540671,18.254065325427632,65.53307047526042,1.2816064145201551
18,SHOCK_2022,8.005492785479703,0.03280150764535961,3.043487548828125,19.04269707902594
19,SHOCK_2022,42.38670849572901,35.41001628042582,33.941015625000006,57.80140276068721
20,SHOCK_2022,13.027737117482928,14.020713309097147,50.26450174967445,5.6709022362169605
21,SHOCK_2022,27.144826366489525,29.444559273136235,19.055610351562507,46.222982001194964
22,SHOCK_2022,3.7980649650060627,7.7367466883551685,30.576704101562513,16.164512280523553
23,SHOCK_2022,55.74502752289311,52.13162131143304,50.114408976236945,46.94160111117722
24,SHOCK_2022,16.493721834236993,20.621762725108624,27.80692891438798,6.605838787353008
25,SHOCK_2022,27.745504278813655,34.91970520253216,67.8331298828125,16.9830597566351
26,SHOCK_2022,18.89177992131073,37.37506430793286,12.460627034505194,19.35001158020492
27,SHOCK_2022,22.18437590903835,25.915233639133305,36.37071004231774,7.455332714275812
28,SHOCK_2022,40.58927760332233,18.592117811093487,41.42467773437505,0.026533339329660066
29,SHOCK_2022,26.554141658803076,37.41641540036488,44.38073527018224,7.702386940527845
30,SHOCK_2022,8.72851034597096,4.574738589522383,16.10944620768231,22.705299652879944
31,SHOCK_2022,43.38228597642359,20.925232871608046,20.397442626953136,48.957148871352615
32,SHOCK_2022,27.172259559450936,27.02758019474055,32.29042277018226,44.9142140440249
33,SHOCK_2022,72.81447932344355,78.38523033985399,100.16825236002597,57.99316300258937
34,SHOCK_2022,33.749327709368686,58.48232415472228,84.18840250651044,49.52689676455827
35,SHOCK_2022,14.394868225335472,8.300398372052427,57.97611816406254,15.125191802524455
36,SHOCK_2022,6.705128463248968,24.088615797185582,7.148394775390614,1.5233302950078382
37,SHOCK_2022,40.84107707415234,25.744627742570117,59.581416015624995,53.65955975049155
38,SHOCK_2022,68.6422857321262,48.910704708846936,63.043438720703136,30.542956928533783
39,SHOCK_2022,15.84233267893211,9.577647247124503,44.622721354166686,12.227149117223746
40,SHOCK_2022,0.6999489268564787,31.56899401811083,13.123742675781244,50.01666888069255
41,SHOCK_2022,81.52690884623189,44.38299946601052,88.85083129882815,38.48724498408197
42,SHOCK_2022,14.556700782329557,24.29732697410637,20.545500081380197,24.884867383212082
43,SHOCK_2022,17.50364136041449,35.92910078968592,7.301509806315096,32.01393081361482
44,SHOCK_2022,90.6138606796544,111.41194533312132,76.58257629394531,104.7208968398799
45,SHOCK_2022,15.451237080682958,34.77324553892639,34.691845296223946,19.591874871716712
46,SHOCK_2022,0.16637777565679812,3.0007697525963124,19.18364746093752,22.209828518459403
47,SHOCK_2022,46.72937412714026,46.25116633925401,31.468799438476566,31.271576163299414
48,SHOCK_2022,65.14402712819555,90.73732455860244,97.63435180664061,110.24881232986473
49,SHOCK_2022,22.007723574662293,54.5085040210742,2.0880875651041606,65.8511722542948
50,SHOCK_2022,5.948310011492708,48.02477669742859,40.15797159830731,20.46212646857623
51,SHOCK_2022,71.15408146667781,43.4658802126319,22.033390096028626,66.82051921100899
52,SHOCK_2022,2.2147570049067156,6.131257958931457,77.19466634114582,3.14396790994212
53,SHOCK_2022,14.08377293209719,3.000913202454427,34.77816121419269,3.875685439054024
54,SHOCK_2022,25.211731622300064,21.8761833735022,17.499725138346363,26.3544874557317
55,SHOCK_2022,12.488223055639821,9.501563105926579,8.330330912272132,10.39755003025084
56,SHOCK_2022,9.16934798448915,2.9420918869302852,1.9699857584635083,5.379215477076144
57,SHOCK_2022,1.8053899895849668,9.039085783226142,20.235248514811218,17.37336677026272
