placebo_start,effect,pre_rmse
2023-03-08,6.5239008986208855,20.738831701515863
2023-03-15,6.401560323874346,20.73594026121509
2023-03-22,6.888623582589967,20.73769300366865
2023-03-29,7.75398599941586,20.738976800721435
2023-04-05,8.078272745863025,20.73771064117199
2023-04-12,8.84662653961341,20.72334762646351
2023-04-19,9.011522820906652,20.72206989301284
2023-04-26,9.563366086913414,20.73833158055924
2023-05-03,9.327965305732425,20.749031640032197
2023-05-10,8.599307746293011,20.766876132050193
2023-05-17,8.426651328222041,20.78325360340885
2023-05-24,7.5170794537179315,20.78854540751219
2023-05-31,6.865607852181235,20.813666084929057
2023-06-07,6.025995116622449,20.821356717039762
2023-06-14,6.003329723784731,20.821832874857314
2023-06-21,6.079204061223709,20.82206540446661
2023-06-28,5.046851988881189,20.83475229797213
2023-07-05,4.2854224805025805,20.856018263728945
2023-07-12,3.6274648732110304,20.86887315886394
2023-07-19,2.190678671313373,20.941274393412368
2023-07-26,1.0471307894488513,21.015142343148256
2023-08-09,1.0845236282814668,21.055814167643582
2023-08-16,0.1499050786337488,21.180609844527236
2023-08-23,-0.22793752379810694,21.20714655627399
2023-08-30,0.11847319571943693,21.207369426826467
2023-09-06,-0.04657585270665088,21.21133596845391
2023-09-13,-0.26604119665865866,21.21896142896139
2023-09-20,-1.6136721577623439,21.332873879838424
2023-09-27,-3.5154502169595494,21.476727304969003
2023-10-04,-4.84776409285537,21.62471522536031
2023-10-11,-6.2801619169024105,21.78261514630338
2023-10-18,-7.198322569650339,21.827268104533402
2023-10-25,-8.70200341911987,21.931905284722646
2023-11-15,-7.869577297990155,21.613987560661858
2023-11-22,-6.655323965260246,21.522132889452678
2023-11-29,-6.1449119855148515,21.185993020881995
2023-12-06,-4.770616677603788,20.90586871910079
2023-12-13,-3.7593097614715623,20.870146732442393
2023-12-20,-2.815900428604894,19.516882753577995
2023-12-27,-0.1608919754073499,19.479278347335914
2024-01-03,2.9243138627023244,19.372253925999217
2024-01-17,6.398077711186348,18.523964893133698
2024-01-24,8.863434614973652,18.218452407631585
2024-01-31,9.48145305921602,17.260338943912384
2024-02-07,10.311357612765512,17.23899485851696
2024-02-14,10.426649718910863,17.099075615202192
2024-02-21,10.964401027855311,17.006101286679613
2024-02-28,11.154585998576605,16.92377777716801
2024-03-06,11.061191670428238,16.925529693201376
2024-03-13,11.729912156655162,16.621008563607052
2024-03-20,11.576369540217431,16.419692661681633
2024-03-27,10.621166471479386,16.435371375558425
2024-04-03,10.504360086942514,15.959086907237495
2024-04-10,10.452460760820582,14.740002667034375
2024-04-17,8.760292331113932,14.839512794813094
2024-04-24,7.8604399422529125,14.809393482242434
2024-05-01,8.63185844557238,14.824929401510381
2024-05-08,8.405027084681233,14.903594502486532
2024-05-15,8.096156691176674,14.964725829415041
2024-05-22,6.101019531679391,15.065192551364282
2024-05-29,4.5555200953649635,15.019430382854301
2024-06-05,2.7104755031304215,15.207241549257152
2024-06-12,1.4327827484375337,15.331961318149538
2024-06-19,0.44655559293058467,15.347110853290141
2024-06-26,-0.6026124347857529,15.309096014304773
2024-07-03,-2.7550774599209014,15.432996051724002
2024-07-10,-3.291569784979231,15.103808446023644
2024-07-17,-2.289372222283225,14.783873870141674
2024-07-24,-2.9378843872861005,14.706616650422816
2024-07-31,-3.759217007565974,14.215362623356956
2024-08-07,-4.012052421182128,14.207226080227915
2024-08-14,-5.51592459846681,14.37940036554527
2024-08-21,-5.223367709782558,14.425117302497835
2024-08-28,-6.255102124802271,14.416640568462512
2024-09-04,-5.278980564910924,14.183590601199413
2024-09-11,-5.444355305675669,14.099384738860364
2024-09-18,-6.7739997830333785,13.350494898403491
2024-09-25,-6.244297454259047,13.331421866496969
2024-10-02,-5.976336814344648,13.085542556339625
2024-10-09,-5.281408350695692,12.927190776061257
2024-10-16,-5.291261339954344,12.954832481642814
2024-10-23,-5.2715710229041175,12.994977793073296
2024-10-30,-4.711355649595252,13.004430127100399
2024-11-06,-5.44797421033836,13.04288439020078
2024-11-13,-5.442616942728758,13.177433447194398
2024-11-27,-3.7415359418355933,13.167259748020587
2024-12-04,-3.5366119284090134,12.99074513639041
2024-12-11,-3.2875141442394797,12.975875738154485
2024-12-18,-4.9685382781458,13.289539062353276
2024-12-25,-3.8971314761946214,13.305487812088973
2025-01-01,-4.294925446358594,13.347058943918901
2025-01-08,-2.819605306742581,13.372946368512407
2025-01-15,-3.5933695256791047,13.153468830470153
2025-01-22,-4.810954223482186,13.324013802725423
2025-01-29,-4.145918059019877,13.281851136011724
2025-02-05,-1.9123487207517047,13.20744070657692
2025-02-12,-2.337270430457268,13.252290627040123
2025-02-19,-1.8764263243498318,13.233015758885083
2025-02-26,-1.739795747269564,13.201179267778459
2025-03-05,-2.062208009149068,13.274802790856196
2025-03-19,-0.3362743066833189,13.217855414064474
2025-03-26,0.1561454238364357,13.23737281100484
2025-04-02,0.8988295483511415,13.247554735586295
2025-04-09,1.0615690384987064,13.273857369274198
2025-04-16,1.8842026061777106,13.27206800011369
2025-04-23,1.94473897982291,13.257612090453298
2025-04-30,1.236269373698505,13.243223198792046
2025-05-07,1.6748121361808253,13.221862251435665
2025-05-14,2.5903376978506794,13.226954042506927
2025-05-21,2.0295994000464335,13.212648190839012
2025-05-28,1.3922041906428602,13.206149587048728
2025-06-11,1.537278279036109,13.221354156067894
2025-06-18,0.8298593309230822,13.230846891100189
2025-06-25,-0.1760858129664813,13.242662973653957
2025-07-02,-2.2118200144299176,13.233270218046618
2025-07-09,-3.0809523683121265,13.23941454254453
2025-07-23,-2.950567812637223,13.117941164338658
2025-08-06,-4.07917188228926,13.002982289507061
2025-08-13,-4.783827061861489,12.821908540689641
2025-08-20,-4.738693339608385,12.791232968377932
