fold_id,period,date,B_no_EUA_abs_error,B_with_EUA_abs_error,D_no_EUA_abs_error,D_with_EUA_abs_error
1,BASELINE,2022-01-04,65.03023488092994,72.44873726764321,65.89639620353563,78.4203221512371
2,BASELINE,2022-01-11,53.935595076373914,73.9155886108756,51.59580812011731,75.64724188511104
3,BASELINE,2022-01-18,72.49513531265265,69.8607493906004,71.70956597400337,67.3435765264951
4,BASELINE,2022-01-25,70.82891301327402,59.94509506817593,69.00104303318219,60.14098583348789
5,BASELINE,2022-02-01,55.29195616603741,65.37641159504324,57.32551544855269,64.36902901794704
6,BASELINE,2022-02-08,7.029629133325869,2.2093424027669357,11.416911788285176,2.511875425687009
7,BASELINE,2022-02-15,10.639396383549354,5.634753496163995,14.894620430249063,5.671455967447628
8,BASELINE,2022-02-22,30.31583248425575,22.014446376404635,30.06164987788297,14.83178533232487
9,SHOCK_2022,2022-03-01,39.28167641726998,30.093942796176094,39.801647210213275,31.66222933332054
10,SHOCK_2022,2022-03-08,172.68859418087453,171.50046146416946,175.4301511431609,169.52459133600678
11,SHOCK_2022,2022-03-15,22.29761497705067,40.63349811634748,21.393835997075485,37.155729435908825
12,SHOCK_2022,2022-03-22,25.533585778170362,3.0858769426031927,25.533585778170362,1.9414389984038678
13,SHOCK_2022,2022-03-29,8.841934529882025,2.3786413512744673,6.538135271160456,3.986834530447311
14,SHOCK_2022,2022-04-05,30.555179381916332,19.37553002179078,38.73025519132926,21.86771920456053
15,SHOCK_2022,2022-04-12,18.15957908319325,16.409665784300756,16.050936653031982,20.621410244220016
16,SHOCK_2022,2022-04-19,56.27655987115449,54.178199930933346,53.00183893067333,58.516524418170405
17,SHOCK_2022,2022-04-26,35.27204876595516,22.40105476249647,38.7814009032505,18.562180408534914
18,SHOCK_2022,2022-05-03,30.986098342413896,43.61578355172401,37.78831145109709,47.34081533944362
19,SHOCK_2022,2022-05-10,49.744394932825344,65.50056091026394,58.22869008154268,65.41465347113751
20,SHOCK_2022,2022-05-17,11.172258192919656,9.047638318212478,21.686771713121402,7.1323721508685765
21,SHOCK_2022,2022-05-24,18.60149867817495,21.910404375776153,21.556288551804528,21.93688704665152
22,SHOCK_2022,2022-05-31,8.347336892948846,2.8736364150746,6.8924007723577745,2.5861943856658343
23,SHOCK_2022,2022-06-07,46.96997820097636,54.94086271405649,47.84059483235825,61.076735795260845
24,SHOCK_2022,2022-06-14,20.686949731373943,21.066702422893712,19.58423324887363,16.445515006472306
25,SHOCK_2022,2022-06-21,9.042147083534473,8.853632107502392,9.021739234766414,10.564489640186252
