comparison,group,n_observations,block_length_folds,nominal_block_length_days,block_length_days,n_blocks,n_bootstrap_replicates,observed_delta_mae,bootstrap_ci_low,bootstrap_ci_high,p_value_one_sided_improvement,p_value_two_sided,eua_improves_if_delta_positive,ci_excludes_zero,nested_set,mean_no_eua_mae,mean_with_eua_mae
no_EUA_error_minus_with_EUA_error,all_folds,244,1,7,7,244,5000,0.2333232240297362,-0.576060785696047,1.113337450610885,0.2692,0.5384,True,False,B,22.074577867892867,21.841254643863138
no_EUA_error_minus_with_EUA_error,all_folds,244,1,7,7,244,5000,0.3640034561490728,-0.4831507898029239,1.257601468664339,0.1844,0.3688,True,False,D,22.155779729234034,21.79177627308496
no_EUA_error_minus_with_EUA_error,shock_folds,79,1,7,7,79,5000,0.7059830369258168,-1.6495276530394076,3.226987040286628,0.2694,0.5388,True,False,B,30.212421031742732,29.50643799481691
no_EUA_error_minus_with_EUA_error,shock_folds,79,1,7,7,79,5000,1.2857901247690766,-1.1051970438547882,3.843320733984403,0.143,0.284,True,False,D,30.595002062055322,29.309211937286236
no_EUA_error_minus_with_EUA_error,all_folds,244,2,14,14,243,5000,0.2333232240297362,-0.5875114736974132,1.165411851146364,0.3024,0.6048,True,False,B,22.074577867892867,21.841254643863138
no_EUA_error_minus_with_EUA_error,all_folds,244,2,14,14,243,5000,0.3640034561490728,-0.48464238663891474,1.2996018008800765,0.2158,0.4164,True,False,D,22.155779729234034,21.79177627308496
no_EUA_error_minus_with_EUA_error,shock_folds,79,2,14,14,77,5000,0.7059830369258168,-1.8268665615642359,3.3027815541209593,0.2682,0.5364,True,False,B,30.212421031742732,29.50643799481691
no_EUA_error_minus_with_EUA_error,shock_folds,79,2,14,14,77,5000,1.2857901247690766,-1.1618695601871456,3.7317763225565885,0.1424,0.2848,True,False,D,30.595002062055322,29.309211937286236
no_EUA_error_minus_with_EUA_error,all_folds,244,4,28,28,241,5000,0.2333232240297362,-0.5281875204689548,1.15284057543557,0.3428,0.4788,True,False,B,22.074577867892867,21.841254643863138
no_EUA_error_minus_with_EUA_error,all_folds,244,4,28,28,241,5000,0.3640034561490728,-0.4348652187773229,1.3315128616200982,0.2524,0.3232,True,False,D,22.155779729234034,21.79177627308496
no_EUA_error_minus_with_EUA_error,shock_folds,79,4,28,28,73,5000,0.7059830369258168,-1.775998824835277,3.293045978357091,0.2902,0.5488,True,False,B,30.212421031742732,29.50643799481691
no_EUA_error_minus_with_EUA_error,shock_folds,79,4,28,28,73,5000,1.2857901247690766,-1.143752112152325,3.8016030698844214,0.1498,0.2996,True,False,D,30.595002062055322,29.309211937286236
no_EUA_error_minus_with_EUA_error,all_folds,244,8,56,56,237,5000,0.2333232240297362,-0.4274842791424559,1.0624809755814824,0.3218,0.4176,True,False,B,22.074577867892867,21.841254643863138
no_EUA_error_minus_with_EUA_error,all_folds,244,8,56,56,237,5000,0.3640034561490728,-0.3446905092837004,1.2730325091498473,0.2296,0.2892,True,False,D,22.155779729234034,21.79177627308496
no_EUA_error_minus_with_EUA_error,shock_folds,79,8,56,56,65,5000,0.7059830369258168,-1.8167376000314766,2.7715745305412884,0.2244,0.4488,True,False,B,30.212421031742732,29.50643799481691
no_EUA_error_minus_with_EUA_error,shock_folds,79,8,56,56,65,5000,1.2857901247690766,-1.1465230245012774,3.199336050499834,0.0872,0.1744,True,False,D,30.595002062055322,29.309211937286236
