outcome,pre_rmse,n_pre,pre_gap,post_effect,post_effect_90d,hac_se,hac_p,block7_ci_low,block7_ci_high,block14_ci_low,block14_ci_high,n_post,hac_p_holm,significant_holm,time_placebo_p
mean,12.192155362721417,1154,0.08158037333179066,-2.321450626434341,-4.60746343653826,1.208550631483474,0.054749979528829734,-4.286806191769142,-0.4369489368834015,-4.62236577664065,-0.0017423442879107593,186,0.21899991811531894,False,0.39669421487603307
peak,21.683114189135956,1154,3.914672724299632,-0.6439537022017552,-0.19009594486827694,1.0199646750213711,0.5278123389091673,-2.2788548762378187,1.066494100275453,-2.6383061596787836,1.3934140565223783,186,0.5278123389091673,False,
offpeak,13.223917369213419,1154,-0.13042716852017153,1.519968617369974,0.24064600709789824,0.997505012347593,0.1275660747574158,-0.20103807268838983,3.1718196802151732,-0.46849783699851233,3.351232741402558,186,0.30633607306832883,False,
volatility,9.16859841656667,1154,1.927283508085295,4.086536098220707,7.290777292151147,1.6171303280120919,0.011503182901209634,1.7229530930617911,7.259843580504633,1.6106700169992947,7.5144822317833135,186,0.05751591450604817,False,
negative,0.055284697180419236,1154,0.01064454003642377,0.021638984938080915,0.02494855746299738,0.00650067077059462,0.0008724259309369222,0.008782774336815442,0.034119581547342175,0.009064076216352857,0.034062627152931235,186,0.005234555585621533,True,
high_tail,0.005157421159229071,1154,-0.0005532445756415485,0.0011968091593939638,0.0005712132874156988,0.0007321278584383368,0.10211202435610961,6.167064103412014e-05,0.0026571553940001524,3.0025305048817164e-05,0.002793038760156864,186,0.30633607306832883,False,
