fold_id,period,date,actual,A_price_calendar_abs_err,B_plus_fundamentals_abs_err,C_plus_hormuz_abs_err,D_plus_interactions_abs_err
1,BASELINE,2022-01-04,153.91666666666666,79.51903497815069,72.44873726764321,72.44873726764321,78.4203221512371
2,BASELINE,2022-01-11,255.41,34.008460430539486,73.9155886108756,73.9155886108756,75.64724188511104
3,BASELINE,2022-01-18,235.87,75.32567460134626,69.8607493906004,69.8607493906004,67.3435765264951
4,BASELINE,2022-01-25,297.28833333333336,62.48960913049007,59.94509506817593,59.94509506817593,60.14098583348789
5,BASELINE,2022-02-01,150.24708333333334,50.447791755781964,65.37641159504324,65.37641159504324,64.36902901794704
6,BASELINE,2022-02-08,137.80791666666667,19.798036196108285,2.2093424027669357,2.2093424027669357,2.511875425687009
7,BASELINE,2022-02-15,155.00416666666666,16.78667176296284,5.634753496163995,5.634753496163995,5.671455967447628
8,BASELINE,2022-02-22,123.24291666666666,25.074475474876948,22.014446376404635,22.014446376404635,14.83178533232487
9,SHOCK_2022,2022-03-01,241.40125,40.22284726480936,30.093942796176094,30.093942796176094,31.66222933332054
10,SHOCK_2022,2022-03-08,487.5733333333333,175.0426145183372,171.50046146416946,171.50046146416946,169.52459133600678
11,SHOCK_2022,2022-03-15,300.5375,8.37370770416004,40.63349811634748,40.63349811634748,37.155729435908825
12,SHOCK_2022,2022-03-22,236.48833333333332,30.56746831291801,3.0858769426031927,3.0858769426031927,1.9414389984038678
13,SHOCK_2022,2022-03-29,250.18291666666667,15.217561361200978,2.3786413512744673,2.3786413512744673,3.986834530447311
14,SHOCK_2022,2022-04-05,183.02416666666667,49.88847658210764,19.37553002179078,19.37553002179078,21.86771920456053
15,SHOCK_2022,2022-04-12,184.5925,7.313402956910494,16.409665784300756,16.409665784300756,20.621410244220016
16,SHOCK_2022,2022-04-19,213.00458333333333,48.924067641654545,54.178199930933346,54.178199930933346,58.516524418170405
17,SHOCK_2022,2022-04-26,238.46916666666667,31.98522938380185,22.40105476249647,22.40105476249647,18.562180408534914
18,SHOCK_2022,2022-05-03,218.15625,30.666867648242942,43.61578355172401,43.61578355172401,47.34081533944362
19,SHOCK_2022,2022-05-10,183.31875,53.12000228836379,65.50056091026394,65.50056091026394,65.41465347113751
20,SHOCK_2022,2022-05-17,225.74916666666664,21.772526587369697,9.047638318212478,9.047638318212478,7.1323721508685765
21,SHOCK_2022,2022-05-24,162.945,26.81571634645715,21.910404375776153,21.910404375776153,21.93688704665152
22,SHOCK_2022,2022-05-31,210.17,1.3228799651547547,2.8736364150746,2.8736364150746,2.5861943856658343
23,SHOCK_2022,2022-06-07,183.88166666666663,30.559705316672137,54.94086271405649,54.94086271405649,61.076735795260845
24,SHOCK_2022,2022-06-14,194.9808333333333,30.376030066131904,21.066702422893712,21.066702422893712,16.445515006472306
25,SHOCK_2022,2022-06-21,288.59375,40.82149645072445,8.853632107502392,8.853632107502392,10.564489640186252
26,SHOCK_2022,2022-06-28,331.5154166666667,25.714758141985783,31.736309833165308,31.736309833165308,29.62000231576019
27,SHOCK_2022,2022-07-05,318.37208333333336,16.22804976490312,26.50836765754218,26.50836765754218,22.11069818851672
28,SHOCK_2022,2022-07-12,377.66125000000005,58.69926688853815,35.14370851863032,35.14370851863032,43.60750520400188
29,SHOCK_2022,2022-07-19,397.0854166666666,39.43409695862755,39.97499991082634,39.97499991082634,40.91354440027402
30,SHOCK_2022,2022-07-26,316.5729166666667,2.082245040603084,9.520463422759974,9.520463422759974,7.757561828577195
31,SHOCK_2022,2022-08-02,380.5125,19.564877650288167,19.92993426248671,19.92993426248671,19.18158367369034
32,SHOCK_2022,2022-08-09,344.87208333333336,57.29972214285857,50.302140354802646,50.302140354802646,50.302140354802646
33,SHOCK_2022,2022-08-16,490.7929166666666,104.45698769921029,98.99816784681434,98.99816784681434,98.72557017495348
34,SHOCK_2022,2022-08-23,605.1279166666667,151.8277695349865,155.6395164795121,155.6395164795121,155.13374236073844
35,SHOCK_2022,2022-08-30,660.23625,130.8616064596839,126.6697179428927,126.6697179428927,126.56443867887947
36,SHOCK_2022,2022-09-06,417.26875,35.1312795565687,45.60391467949614,45.60391467949614,44.498190520919536
37,SHOCK_2022,2022-09-13,392.37,85.29379554205411,15.025571050272788,15.025571050272788,17.453882343934538
38,SHOCK_2022,2022-09-20,363.425,56.22849232905787,37.4927767100408,37.4927767100408,28.446611586967663
39,SHOCK_2022,2022-09-27,310.2083333333333,4.848362214179815,20.1452945740229,20.1452945740229,21.87153969782645
40,SHOCK_2022,2022-10-04,246.30625,15.672519060730934,26.939094140716207,26.939094140716207,21.31127563245147
41,SHOCK_2022,2022-10-11,259.87375000000003,88.82806163599409,68.15597899467082,68.15597899467082,72.71387508705149
42,SHOCK_2022,2022-10-18,183.17541666666668,26.037528020959513,10.69860327931434,10.69860327931434,14.576516862011317
43,SHOCK_2022,2022-10-25,105.39708333333334,19.936539087886658,19.12503905791766,19.12503905791766,16.324343961925607
44,SHOCK_2022,2022-11-01,68.855,90.6780807499132,124.80211738598892,124.80211738598892,119.91834533409529
45,SHOCK_2022,2022-11-08,95.15458333333332,15.226901726365966,13.006865236915587,13.006865236915587,9.078459437346254
46,SHOCK_2022,2022-11-15,177.28875000000002,1.481079295873883,2.479901690480091,2.479901690480091,0.5345941502111202
47,SHOCK_2022,2022-11-22,203.87875,43.53651781508907,48.01073763697676,48.01073763697676,47.3984949459705
48,SHOCK_2022,2022-11-29,371.6425,77.20385068712716,73.69394202820604,73.69394202820604,75.25946204580913
49,SHOCK_2022,2022-12-06,386.44416666666666,17.117022321458364,4.100113557600423,4.100113557600423,8.816834699109563
50,SHOCK_2022,2022-12-13,444.4766666666667,25.40184923234,7.58452753591763,7.58452753591763,4.403907475591154
51,SHOCK_2022,2022-12-20,185.8216666666667,24.948129545824344,13.529662081581648,13.529662081581648,13.704993129121647
52,SHOCK_2022,2022-12-27,91.73416666666668,39.06553830895393,37.12714693860946,37.12714693860946,36.02772368350173
53,SHOCK_2022,2023-01-03,145.95458333333332,8.574148762932708,11.359969541077675,11.359969541077675,10.791357764714604
54,SHOCK_2022,2023-01-10,123.13041666666668,13.974830971192759,5.135880386384642,5.135880386384642,6.0472432538509935
55,SHOCK_2022,2023-01-17,133.56666666666666,3.5059041316758055,2.8228622441507127,2.8228622441507127,2.9307630966632416
56,SHOCK_2022,2023-01-24,202.69291666666663,6.803598555560825,0.03063708467513493,0.03063708467513493,1.2172967457248944
57,SHOCK_2022,2023-01-31,117.32166666666669,0.4867468828190056,5.57467154365375,5.57467154365375,3.533793738091731
58,SHOCK_2022,2023-02-07,172.9225,4.432138913510016,3.757600417269913,3.757600417269913,4.003262292886575
59,SHOCK_2022,2023-02-14,154.49291666666667,12.589153917936983,14.716469950312245,14.716469950312245,11.971310814119477
60,SHOCK_2022,2023-02-21,122.44583333333333,15.831446211491865,26.54197676001246,26.54197676001246,27.66843968289335
61,BASELINE,2023-02-28,148.045,5.255479395551902,5.923707695808446,5.923707695808446,5.024146439200365
62,BASELINE,2023-03-07,106.86791666666666,45.36867865555699,48.69860568249247,48.69860568249247,47.61104445616995
63,BASELINE,2023-03-14,71.47958333333334,29.020036276988648,39.829481564876815,39.829481564876815,38.49662705048907
64,BASELINE,2023-03-21,115.0525,13.179670461389392,13.2515975861768,13.2515975861768,15.505974937639436
65,BASELINE,2023-03-28,113.15125,13.367525578365118,15.655841199849618,15.655841199849618,14.955430811527293
66,BASELINE,2023-04-04,132.06958333333333,7.527501710096203,7.884900323103977,7.884900323103977,7.393298759819871
67,BASELINE,2023-04-11,59.98541666666667,40.16485530497261,30.02135146849995,30.02135146849995,30.85360926553063
68,BASELINE,2023-04-18,108.22541666666666,13.002315222485208,4.941849044917959,4.941849044917959,4.497626957200296
69,BASELINE,2023-04-25,100.99625,13.018976069208321,6.351220480264729,6.351220480264729,5.763141274227948
70,BASELINE,2023-05-02,106.10125,15.707192126179592,15.04053601334688,15.04053601334688,13.68797872707529
71,BASELINE,2023-05-09,94.63791666666668,5.788642167427398,0.7914401899561483,0.7914401899561483,0.21461097650721683
72,BASELINE,2023-05-16,79.29541666666667,38.475610934011286,30.66767769901857,30.66767769901857,30.982032058489466
73,BASELINE,2023-05-23,72.78541666666666,27.995380808804384,19.30947501929687,19.30947501929687,19.952745437275993
74,BASELINE,2023-05-30,87.73875,30.62315265434667,38.120161580918385,38.120161580918385,38.322471108125974
75,BASELINE,2023-06-06,98.13916666666668,4.954509669943093,11.328127791593403,11.328127791593403,11.730988500860306
76,BASELINE,2023-06-13,90.02708333333334,8.359831284051154,5.259464961617681,5.259464961617681,5.169168246617957
77,BASELINE,2023-06-20,121.1475,4.7205519400943246,9.309055771563948,9.309055771563948,10.44362846828524
78,BASELINE,2023-06-27,101.94625,8.857142508241708,0.8477319031108692,0.8477319031108692,1.9912656989266821
