placebo_date,delta_ttf
2021-01-11,2.1922321428571436
2021-01-18,-0.9904464285714312
2021-01-25,-1.022857142857145
2021-02-01,-1.5022321428571388
2021-02-08,-0.010000000000001563
2021-02-15,-1.559821428571432
2021-02-22,-0.877321428571431
2021-03-01,0.13696428571428854
2021-03-08,1.6923214285714323
2021-03-15,-0.09499999999999886
2021-03-22,0.9040178571428577
2021-03-29,0.5133035714285725
2021-04-05,0.22258928571428171
2021-04-12,1.0582142857142856
2021-04-19,0.4746428571428609
2021-04-26,1.7312499999999993
2021-05-03,1.8327678571428585
2021-05-10,2.4545535714285727
2021-05-17,-1.6059821428571368
2021-05-24,0.5933035714285708
2021-05-31,0.43839285714285836
2021-06-07,2.278214285714281
2021-06-14,1.0593749999999993
2021-06-21,2.883660714285714
2021-06-28,3.400410714285716
2021-07-05,0.15571428571428214
2021-07-12,-0.21141071428571223
2021-07-19,1.0545535714285705
2021-07-26,4.333803571428568
2021-08-02,2.9269285714285687
2021-08-09,2.58758928571428
2021-08-16,-1.2117142857142866
2021-08-23,2.5472321428571334
2021-08-30,5.159839285714298
2021-09-06,5.584839285714281
2021-09-13,10.591142857142863
2021-09-20,7.024875000000009
2021-09-27,18.023803571428573
2021-10-04,7.065946428571422
2021-10-11,-4.481874999999988
2021-10-18,-2.965803571428566
2021-10-25,-14.534839285714298
2021-11-01,-3.4761785714285622
2021-11-08,3.269553571428574
2021-11-15,13.911874999999995
2021-11-22,0.5386428571428468
2021-11-29,2.356142857142842
2021-12-06,10.559678571428577
2021-12-13,33.911696428571446
2021-12-20,9.277142857142877
2021-12-27,-61.14073214285713
2022-01-03,1.4303392857142825
2022-01-10,-4.837767857142836
2022-01-17,-2.795892857142846
2022-01-24,12.439232142857122
2022-01-31,-11.670053571428568
2022-02-07,-3.56982142857143
2022-02-14,-2.9185714285714255
2022-02-21,20.87271428571428
2022-02-28,74.64753571428571
2022-03-07,-6.582232142857123
2022-03-14,-53.53599999999999
2022-03-21,-3.792785714285685
2022-03-28,8.798017857142867
2022-04-04,-8.026071428571413
2022-04-11,-7.646785714285727
2022-04-18,-3.4517857142857054
2022-04-25,4.404357142857123
2022-05-02,0.4347142857142785
2022-05-09,-4.605625000000003
2022-05-16,-7.756249999999994
2022-05-23,-4.731874999999988
2022-05-30,-0.7877678571428532
2022-06-06,-3.5116071428571587
2022-06-13,30.03330357142856
2022-06-20,16.155178571428564
2022-06-27,14.687607142857132
2022-07-04,28.77894642857146
