candidate_reclosure_date,pre_mean_ttf,post_mean_ttf,post_minus_pre_ttf
2026-07-01,41.37657142857143,44.909125,3.532553571428572
2026-07-02,41.64842857142857,45.8245,4.176071428571433
2026-07-03,42.164142857142856,46.4045,4.2403571428571425
2026-07-04,42.659571428571425,46.955124999999995,4.29555357142857
2026-07-05,43.154999999999994,47.50575,4.350750000000005
2026-07-06,43.65042857142857,48.383875,4.733446428571433
2026-07-07,43.874142857142864,49.487375,5.613232142857136
2026-07-08,44.32157142857143,50.459500000000006,6.137928571428574
2026-07-09,45.213428571428565,51.179875,5.966446428571437
2026-07-10,46.08299999999999,52.0915,6.008500000000012
2026-07-11,46.71228571428571,53.184,6.471714285714285
2026-07-12,47.34157142857142,54.276500000000006,6.9349285714285855
2026-07-13,47.970857142857135,55.537375000000004,7.56651785714287
2026-07-14,48.991428571428564,56.585875,7.5944464285714375
2026-07-15,49.90328571428571,57.783125,7.87983928571429
