reopen_date,weeks_offset,adjusted_effect,p_value,significant
2026-05-04,-6,2.93,0.6405,False
2026-05-11,-5,2.9,0.6324,False
2026-05-18,-4,4.65,0.4399,False
2026-05-25,-3,4.91,0.4109,False
2026-06-01,-2,5.43,0.3587,False
2026-06-08,-1,5.85,0.3142,False
2026-06-15,0,6.23,0.276,False
2026-06-22,1,6.49,0.2555,False
2026-06-29,2,8.76,0.142,False
2026-07-06,3,8.98,0.1306,False
2026-07-13,4,9.47,0.1091,False
2026-07-20,5,10.1,0.0891,False
2026-07-27,6,10.56,0.0786,False
