placebo_start,effect,pre_rmse
2023-03-08,4.835497413593904,20.738831701515863
2023-03-15,4.680517641438869,20.73594026121509
2023-03-22,4.14563420867403,20.73769300366865
2023-03-29,4.319668908795684,20.738976800721435
2023-04-05,4.448873213316649,20.73771064117199
2023-04-19,4.9142565286746915,20.72206989301284
2023-05-03,5.698921718931717,20.749031640032197
2023-05-10,5.172794116118452,20.766876132050193
2023-05-17,5.620249813118953,20.78325360340885
2023-05-24,4.949792753267397,20.78854540751219
2023-06-07,3.4858159097167563,20.821356717039762
2023-06-14,3.58664607000827,20.821832874857314
2023-06-21,4.597191605118885,20.82206540446661
2023-06-28,5.475394566809728,20.83475229797213
2023-07-12,6.713603116898317,20.86887315886394
2023-07-19,6.542364921870172,20.941274393412368
2023-07-26,6.6913469151337095,21.015142343148256
2023-08-02,7.621208834385815,21.028230510090072
2023-08-09,7.576985801010011,21.055814167643582
2023-08-16,6.30819629458632,21.180609844527236
2023-08-23,5.489074515704174,21.20714655627399
2023-08-30,5.963100190543994,21.207369426826467
2023-09-06,5.585419779373319,21.21133596845391
2023-09-13,5.034867411475763,21.21896142896139
2023-09-20,3.0031941313873878,21.332873879838424
2023-09-27,-0.17851766862550633,21.476727304969003
2023-10-04,-3.130494579641624,21.62471522536031
2023-10-11,-6.232336738506592,21.78261514630338
2023-10-18,-8.45050620035025,21.827268104533402
2023-11-01,-13.071030303234469,21.79253456229912
2023-11-08,-12.24221039657189,21.681044934761545
2023-11-15,-11.79950386645768,21.613987560661858
2023-11-29,-11.31868607560342,21.185993020881995
2023-12-06,-10.648427090611852,20.90586871910079
2023-12-13,-10.383532628945153,20.870146732442393
2023-12-20,-9.270572912274234,19.516882753577995
2023-12-27,-6.315719203002358,19.479278347335914
2024-01-03,-3.3347797415447675,19.372253925999217
2024-01-10,-0.804204550036526,19.338673189006016
2024-01-17,1.9828093607566624,18.523964893133698
2024-01-24,4.87112262573358,18.218452407631585
2024-01-31,5.178278167626502,17.260338943912384
2024-02-14,5.9752208130247055,17.099075615202192
2024-02-21,7.150594547253505,17.006101286679613
2024-02-28,8.295795937648517,16.92377777716801
2024-03-13,11.027662043307034,16.621008563607052
2024-03-27,10.596107429218385,16.435371375558425
2024-04-03,11.361241719363369,15.959086907237495
2024-04-10,11.92259014126612,14.740002667034375
2024-04-17,9.998306459047585,14.839512794813094
2024-04-24,8.970699772292285,14.809393482242434
2024-05-01,9.859280195008894,14.824929401510381
2024-05-08,9.48942093633348,14.903594502486532
2024-05-15,10.01285178787137,14.964725829415041
2024-05-22,8.085869923849533,15.065192551364282
2024-06-05,4.416229898228819,15.207241549257152
2024-06-12,2.360437204213847,15.331961318149538
2024-06-19,1.729445919935456,15.347110853290141
2024-06-26,0.9046647010095086,15.309096014304773
2024-07-03,-1.8857717136556982,15.432996051724002
