fold_id,period,variable,coef,pvalue
17,SHOCK_2022,d_gpr_daily_lag2,0.08316775417292258,0.017666470974063066
17,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
18,SHOCK_2022,d_ttf_eur_mwh_lag2,1.4064763197912649,1.4606321388813345e-23
18,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.4809922215781754,0.2573715787761667
18,SHOCK_2022,d_gpr_daily_lag2,0.07342924948086782,0.03293333296603476
18,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
19,SHOCK_2022,d_ttf_eur_mwh_lag2,1.3791411257786375,1.143887013945874e-22
19,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.4539307445030721,0.28049056327546307
19,SHOCK_2022,d_gpr_daily_lag2,0.06933050100866613,0.041226053141012325
19,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
20,SHOCK_2022,d_ttf_eur_mwh_lag2,1.3793665012820717,4.8046506115995445e-23
20,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.4263852580744664,0.3035083270562232
20,SHOCK_2022,d_gpr_daily_lag2,0.067583783063458,0.04501689501771144
20,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
21,SHOCK_2022,d_ttf_eur_mwh_lag2,1.370876017008615,2.6665913392207966e-23
21,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.4226505458494354,0.2922012165543074
21,SHOCK_2022,d_gpr_daily_lag2,0.0643135046279414,0.054919739446548196
21,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
22,SHOCK_2022,d_ttf_eur_mwh_lag2,1.3971182143589207,1.004664300912312e-23
22,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.41185644276705125,0.30157017392289254
22,SHOCK_2022,d_gpr_daily_lag2,0.06456657774393425,0.056919893066023346
22,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
23,SHOCK_2022,d_ttf_eur_mwh_lag2,1.3995297264440927,1.3340475300022657e-24
23,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.43498659682463353,0.25187921817677406
23,SHOCK_2022,d_gpr_daily_lag2,0.06297352806351013,0.06094400271488666
23,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
24,SHOCK_2022,d_ttf_eur_mwh_lag2,1.373283665269605,1.1110694852386225e-23
24,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.32736074546609795,0.38902097702472693
24,SHOCK_2022,d_gpr_daily_lag2,0.06033189753315454,0.0697002493177443
24,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
25,SHOCK_2022,d_ttf_eur_mwh_lag2,1.3900558137837344,1.2794301915857271e-24
25,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.29069381471846617,0.44989769062540563
25,SHOCK_2022,d_gpr_daily_lag2,0.05710705406629522,0.08349367362866772
25,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
