stage,lags,cumulative_coefficient,se,p_value,n,p_value_holm,significant_holm
PortWatch shortfall to TTF,0-7,16.118035380148953,8.203255020585852,0.04943343943264478,601,0.09886687886528955,False
TTF to German power,1-7,0.981622149565995,0.712748968507185,0.16843989722338715,601,0.16843989722338715,False
