fold_id,period,residual_load_threshold,A_price_calendar_MAE,A_price_calendar_RMSE,B_plus_fundamentals_MAE,B_plus_fundamentals_RMSE,C_plus_hormuz_MAE,C_plus_hormuz_RMSE,D_plus_interactions_MAE,D_plus_interactions_RMSE
1,BASELINE,46201.477864583336,79.51903497815069,79.51903497815069,72.44873726764321,72.44873726764321,72.44873726764321,72.44873726764321,78.4203221512371,78.4203221512371
2,BASELINE,46073.489583333336,34.008460430539486,34.008460430539486,73.9155886108756,73.9155886108756,73.9155886108756,73.9155886108756,75.64724188511104,75.64724188511104
3,BASELINE,46053.066145833334,75.32567460134626,75.32567460134626,69.8607493906004,69.8607493906004,69.8607493906004,69.8607493906004,67.3435765264951,67.3435765264951
4,BASELINE,46126.919270833336,62.48960913049007,62.48960913049007,59.94509506817593,59.94509506817593,59.94509506817593,59.94509506817593,60.14098583348789,60.14098583348789
5,BASELINE,46153.634114583336,50.447791755781964,50.447791755781964,65.37641159504324,65.37641159504324,65.37641159504324,65.37641159504324,64.36902901794704,64.36902901794704
6,BASELINE,46180.348958333336,19.798036196108285,19.798036196108285,2.2093424027669357,2.2093424027669357,2.2093424027669357,2.2093424027669357,2.511875425687009,2.511875425687009
7,BASELINE,46100.204427083336,16.78667176296284,16.78667176296284,5.634753496163995,5.634753496163995,5.634753496163995,5.634753496163995,5.671455967447628,5.671455967447628
8,BASELINE,45977.27135416666,25.074475474876948,25.074475474876948,22.014446376404635,22.014446376404635,22.014446376404635,22.014446376404635,14.83178533232487,14.83178533232487
9,SHOCK_2022,45873.03723958333,40.22284726480936,40.22284726480936,30.093942796176094,30.093942796176094,30.093942796176094,30.093942796176094,31.66222933332054,31.66222933332054
10,SHOCK_2022,45847.59375,175.0426145183372,175.0426145183372,171.50046146416946,171.50046146416946,171.50046146416946,171.50046146416946,169.52459133600678,169.52459133600678
11,SHOCK_2022,45942.77786458333,8.37370770416004,8.37370770416004,40.63349811634748,40.63349811634748,40.63349811634748,40.63349811634748,37.155729435908825,37.155729435908825
12,SHOCK_2022,45882.465104166666,30.56746831291801,30.56746831291801,3.0858769426031927,3.0858769426031927,3.0858769426031927,3.0858769426031927,1.9414389984038678,1.9414389984038678
13,SHOCK_2022,45873.03723958333,15.217561361200978,15.217561361200978,2.3786413512744673,2.3786413512744673,2.3786413512744673,2.3786413512744673,3.986834530447311,3.986834530447311
14,SHOCK_2022,45885.21041666667,49.88847658210764,49.88847658210764,19.37553002179078,19.37553002179078,19.37553002179078,19.37553002179078,21.86771920456053,21.86771920456053
15,SHOCK_2022,45890.97890625,7.313402956910494,7.313402956910494,16.409665784300756,16.409665784300756,16.409665784300756,16.409665784300756,20.621410244220016,20.621410244220016
16,SHOCK_2022,45866.3546875,48.924067641654545,48.924067641654545,54.178199930933346,54.178199930933346,54.178199930933346,54.178199930933346,58.516524418170405,58.516524418170405
17,SHOCK_2022,45844.83802083333,31.98522938380185,31.98522938380185,22.40105476249647,22.40105476249647,22.40105476249647,22.40105476249647,18.562180408534914,18.562180408534914
18,SHOCK_2022,45825.510416666664,30.666867648242942,30.666867648242942,43.61578355172401,43.61578355172401,43.61578355172401,43.61578355172401,47.34081533944362,47.34081533944362
19,SHOCK_2022,45777.27682291666,53.12000228836379,53.12000228836379,65.50056091026394,65.50056091026394,65.50056091026394,65.50056091026394,65.41465347113751,65.41465347113751
20,SHOCK_2022,45793.354687499996,21.772526587369697,21.772526587369697,9.047638318212478,9.047638318212478,9.047638318212478,9.047638318212478,7.1323721508685765,7.1323721508685765
21,SHOCK_2022,45654.53567708334,26.81571634645715,26.81571634645715,21.910404375776153,21.910404375776153,21.910404375776153,21.910404375776153,21.93688704665152,21.93688704665152
22,SHOCK_2022,45592.30104166667,1.3228799651547547,1.3228799651547547,2.8736364150746,2.8736364150746,2.8736364150746,2.8736364150746,2.5861943856658343,2.5861943856658343
23,SHOCK_2022,45551.68697916667,30.559705316672137,30.559705316672137,54.94086271405649,54.94086271405649,54.94086271405649,54.94086271405649,61.076735795260845,61.076735795260845
24,SHOCK_2022,45455.668229166666,30.376030066131904,30.376030066131904,21.066702422893712,21.066702422893712,21.066702422893712,21.066702422893712,16.445515006472306,16.445515006472306
25,SHOCK_2022,45352.26354166667,40.82149645072445,40.82149645072445,8.853632107502392,8.853632107502392,8.853632107502392,8.853632107502392,10.564489640186252,10.564489640186252
26,SHOCK_2022,45336.365625,25.714758141985783,25.714758141985783,31.736309833165308,31.736309833165308,31.736309833165308,31.736309833165308,29.62000231576019,29.62000231576019
27,SHOCK_2022,45283.25989583333,16.22804976490312,16.22804976490312,26.50836765754218,26.50836765754218,26.50836765754218,26.50836765754218,22.11069818851672,22.11069818851672
28,SHOCK_2022,45208.388541666674,58.69926688853815,58.69926688853815,35.14370851863032,35.14370851863032,35.14370851863032,35.14370851863032,43.60750520400188,43.60750520400188
29,SHOCK_2022,45118.09947916667,39.43409695862755,39.43409695862755,39.97499991082634,39.97499991082634,39.97499991082634,39.97499991082634,40.91354440027402,40.91354440027402
30,SHOCK_2022,44888.85520833333,2.082245040603084,2.082245040603084,9.520463422759974,9.520463422759974,9.520463422759974,9.520463422759974,7.757561828577195,7.757561828577195
31,SHOCK_2022,44818.316145833334,19.564877650288167,19.564877650288167,19.92993426248671,19.92993426248671,19.92993426248671,19.92993426248671,19.18158367369034,19.18158367369034
32,SHOCK_2022,44776.185416666674,57.29972214285857,57.29972214285857,50.302140354802646,50.302140354802646,50.302140354802646,50.302140354802646,50.302140354802646,50.302140354802646
33,SHOCK_2022,44736.11171875,104.45698769921029,104.45698769921029,98.99816784681434,98.99816784681434,98.99816784681434,98.99816784681434,98.72557017495348,98.72557017495348
34,SHOCK_2022,44715.421875,151.8277695349865,151.8277695349865,155.6395164795121,155.6395164795121,155.6395164795121,155.6395164795121,155.13374236073844,155.13374236073844
35,SHOCK_2022,44689.499739583334,130.8616064596839,130.8616064596839,126.6697179428927,126.6697179428927,126.6697179428927,126.6697179428927,126.56443867887947,126.56443867887947
36,SHOCK_2022,44642.47760416666,35.1312795565687,35.1312795565687,45.60391467949614,45.60391467949614,45.60391467949614,45.60391467949614,44.498190520919536,44.498190520919536
37,SHOCK_2022,44611.45208333333,85.29379554205411,85.29379554205411,15.025571050272788,15.025571050272788,15.025571050272788,15.025571050272788,17.453882343934538,17.453882343934538
38,SHOCK_2022,44545.25625,56.22849232905787,56.22849232905787,37.4927767100408,37.4927767100408,37.4927767100408,37.4927767100408,28.446611586967663,28.446611586967663
39,SHOCK_2022,44497.79791666667,4.848362214179815,4.848362214179815,20.1452945740229,20.1452945740229,20.1452945740229,20.1452945740229,21.87153969782645,21.87153969782645
40,SHOCK_2022,44392.64114583334,15.672519060730934,15.672519060730934,26.939094140716207,26.939094140716207,26.939094140716207,26.939094140716207,21.31127563245147,21.31127563245147
41,SHOCK_2022,44393.24869791667,88.82806163599409,88.82806163599409,68.15597899467082,68.15597899467082,68.15597899467082,68.15597899467082,72.71387508705149,72.71387508705149
42,SHOCK_2022,44385.73229166667,26.037528020959513,26.037528020959513,10.69860327931434,10.69860327931434,10.69860327931434,10.69860327931434,14.576516862011317,14.576516862011317
43,SHOCK_2022,44392.033593750006,19.936539087886658,19.936539087886658,19.12503905791766,19.12503905791766,19.12503905791766,19.12503905791766,16.324343961925607,16.324343961925607
44,SHOCK_2022,44372.803125000006,90.6780807499132,90.6780807499132,124.80211738598892,124.80211738598892,124.80211738598892,124.80211738598892,119.91834533409529,119.91834533409529
45,SHOCK_2022,44322.293229166666,15.226901726365966,15.226901726365966,13.006865236915587,13.006865236915587,13.006865236915587,13.006865236915587,9.078459437346254,9.078459437346254
46,SHOCK_2022,44234.73333333334,1.481079295873883,1.481079295873883,2.479901690480091,2.479901690480091,2.479901690480091,2.479901690480091,0.5345941502111202,0.5345941502111202
47,SHOCK_2022,44184.85078125,43.53651781508907,43.53651781508907,48.01073763697676,48.01073763697676,48.01073763697676,48.01073763697676,47.3984949459705,47.3984949459705
48,SHOCK_2022,44162.4625,77.20385068712716,77.20385068712716,73.69394202820604,73.69394202820604,73.69394202820604,73.69394202820604,75.25946204580913,75.25946204580913
49,SHOCK_2022,44083.415364583336,17.117022321458364,17.117022321458364,4.100113557600423,4.100113557600423,4.100113557600423,4.100113557600423,8.816834699109563,8.816834699109563
50,SHOCK_2022,44213.015625,25.40184923234,25.40184923234,7.58452753591763,7.58452753591763,7.58452753591763,7.58452753591763,4.403907475591154,4.403907475591154
51,SHOCK_2022,44366.33854166667,24.948129545824344,24.948129545824344,13.529662081581648,13.529662081581648,13.529662081581648,13.529662081581648,13.704993129121647,13.704993129121647
52,SHOCK_2022,44445.482812500006,39.06553830895393,39.06553830895393,37.12714693860946,37.12714693860946,37.12714693860946,37.12714693860946,36.02772368350173,36.02772368350173
53,SHOCK_2022,44390.00260416667,8.574148762932708,8.574148762932708,11.359969541077675,11.359969541077675,11.359969541077675,11.359969541077675,10.791357764714604,10.791357764714604
54,SHOCK_2022,44359.87395833334,13.974830971192759,13.974830971192759,5.135880386384642,5.135880386384642,5.135880386384642,5.135880386384642,6.0472432538509935,6.0472432538509935
55,SHOCK_2022,44299.66927083333,3.5059041316758055,3.5059041316758055,2.8228622441507127,2.8228622441507127,2.8228622441507127,2.8228622441507127,2.9307630966632416,2.9307630966632416
56,SHOCK_2022,44223.87447916667,6.803598555560825,6.803598555560825,0.03063708467513493,0.03063708467513493,0.03063708467513493,0.03063708467513493,1.2172967457248944,1.2172967457248944
57,SHOCK_2022,44274.95130208333,0.4867468828190056,0.4867468828190056,5.57467154365375,5.57467154365375,5.57467154365375,5.57467154365375,3.533793738091731,3.533793738091731
58,SHOCK_2022,44385.73229166667,4.432138913510016,4.432138913510016,3.757600417269913,3.757600417269913,3.757600417269913,3.757600417269913,4.003262292886575,4.003262292886575
59,SHOCK_2022,44366.33854166667,12.589153917936983,12.589153917936983,14.716469950312245,14.716469950312245,14.716469950312245,14.716469950312245,11.971310814119477,11.971310814119477
