date,horizon_day,q05,q25,q50,q75,q95
2026-09-02,1,96.75924984844671,135.38815989625692,150.90141008702966,165.9856750570783,201.1148252314546
2026-09-03,2,70.5099194749569,120.68917748275638,139.64070887831093,157.91578014383447,205.74427736276868
2026-09-04,3,63.01386364739065,107.93688654531043,127.51685045822036,145.72348908817523,195.25475293288108
2026-09-05,4,38.649209739655035,86.0197582254467,106.1786501197123,126.01206773553987,182.99537985866579
2026-09-06,5,25.183105436762126,77.7202582794589,98.85448594414972,117.9445890233206,173.27492281005007
2026-09-07,6,44.08068479977851,91.23172829923223,113.42901011268589,133.23379232136114,192.31347811888406
2026-09-08,7,59.083348966229224,111.62016268347884,132.30882123434395,151.59915531150926,208.27202315890793
2026-09-09,8,56.22882282532143,114.18640532320964,139.26576550087918,164.70107592476313,226.12245640936024
2026-09-10,9,47.62317802574667,104.21073981060897,130.885916966195,156.0312288064047,219.0101451129551
2026-09-11,10,32.58695941965128,90.4876316343709,115.66575497151794,140.02059190588488,205.32873650300616
2026-09-12,11,13.416317310467676,74.11467661342257,99.76114014090892,124.12279162156327,184.99656416604597
2026-09-13,12,7.912591039650147,69.33959552926052,94.84333565491299,119.93794805058509,183.26143599027736
2026-09-14,13,22.577050114214313,83.19988657331135,107.88475790937022,132.57952713219714,193.9809936308152
2026-09-15,14,41.951298360522976,100.81936199788174,126.49797939349632,152.62129761950928,214.4955030105412
